icao24,origin_country,velocity,on_ground
a129dc,United States,4.63,True
4bb068,Turkey,68.94,False
3965ab,France,236.16,False
3965aa,France,292.99,False
3965af,France,277.29,False
ad8bed,United States,235.94,False
4077d3,United Kingdom,313.62,False
780c01,China,5.4,True
4077d4,United Kingdom,314.74,False
e48f6a,Brazil,237.49,False
781f42,China,194.64,False
ad4584,United States,190.25,False
8008d2,India,2.83,True
3ddc6b,Germany,34.61,False
e80453,Chile,211.64,False
a0f6bc,United States,44.29,False
8008d4,India,11.83,True
88596e,Thailand,235.24,False
88596a,Thailand,77.48,False
e80460,Chile,208.15,False
780aa0,China,157.14,False
e80475,Chile,229.22,False
e80474,Chile,259.43,False
c07f01,Canada,176.38,False
e80470,Chile,258.4,False
e80473,Chile,249.86,False
4ac8a8,Sweden,304.19,False
e80478,Chile,217.01,False
a02c40,United States,198.93,False
a26c12,United States,139.1,False
780ab6,China,290.11,False
a4c6b3,United States,132.23,False
780aac,China,0.0,True
e80488,Chile,229.1,False
aaf828,United States,299.37,False
a03f84,United States,107.2,False
8008c7,India,6.17,True
780ac5,China,2.06,True
780ac6,China,261.37,False
a9a419,United States,215.87,False
780ac4,China,211.71,False
